timestamp,content,comments,retweets,likes,analytics,tags,tweet_link,tweet_id,Sentimiento
2024-12-03T18:54:30.000Z,"#AliexpressI just found this on AliExpress: 
$4.79 | Home Party Decoration Purple Leaf Decor Artificial Plant Simulation Pot Bonsai Flower Ornament Hotel Room Desk Decoratehttps://s.click.aliexpress.com/e/_EzHoGrm",0,18,17,279,['#Aliexpress'],https://x.com/ShamekhEmad/status/1864020402479009867,tweet_id:1864020402479009867,negativo
2024-12-07T08:28:58.000Z,"Parallel Trade Store

他のストアの商品画像を使用し、発送方法に「DHL 送料無料」を指定しているため、詐欺の可能性が高いです。ご注意ください！#AliExpress #アリエク",0,0,2,621,"['#AliExpress', '#アリエク']",https://x.com/ex_royalNEET/status/1865312534166925530,tweet_id:1865312534166925530,neutral
2024-12-04T10:49:48.000Z,"アリエクで仕事用に工具バッグ買ったんだけど、届いたのは変なネジ

品名にもツールバッグって記載してあるし普通間違えるわけないよな！？

ちょこちょこ買い物してきたけどこんなの初めてだわ。紛争面倒くさ#アリエク#アリエクスプレス#AliExpress#詐欺",0,0,2,162,"['#アリエク', '#アリエクスプレス', '#AliExpress', '#詐欺', '']",https://x.com/kimituri41/status/1864260812300537985,tweet_id:1864260812300537985,neutral
2024-12-07T10:05:13.000Z,ここから全然動く気配無し… #AliExpress #アリエク,1,0,7,367,"['#AliExpress', '#アリエク']",https://x.com/1ixymviii0/status/1865336757421846903,tweet_id:1865336757421846903,neutral
2024-12-07T15:02:00.000Z,"#Linsoul AliExpress stores are having the December sale starting from tomorrow! 11PM, 8 Dec to 3:59:59PM, 16 Dec (GMT+8)https://ddaudio.aliexpress.com/store/1101246045…https://aliexpress.com/store/1102436631…#hifi #iems #tech #shopping #december #Deals #AliExpress #discount #happy #audiophile",0,1,7,363,"['#Linsoul', '#hifi', '#iems', '#tech', '#shopping', '#december', '#Deals', '#AliExpress', '#discount', '#happy', '#audiophile']",https://x.com/Linsoul_Audio/status/1865411444264534299,tweet_id:1865411444264534299,positivo
2024-12-04T10:59:09.000Z,"Aula F99 メカニカルキーボードコイン超割引¥6,731 (参考価格)https://s.click.aliexpress.com/e/_olf1cD3#ad #AliExpress #アリエク",0,0,2,535,"['#ad', '#AliExpress', '#アリエク']",https://x.com/ex_royalNEET/status/1864263164751429801,tweet_id:1864263164751429801,neutral
2024-11-27T08:57:16.000Z,"アリエクセール1111
まだ全て届いてませんが、
一応着弾報告です。
宣言通り？にイヤピとケーブル

TRN tips（S）
TRN tips（M）
TRI Clarion（SML）
7hz.h07.h08.など色々
NICEHCK MixDNA
（XINHS-018←これは未着）
TRN MT5は、セールの直前に買った
2つ目と3つ目のおかわりです",13,1,39,1.4K,[''],https://x.com/VirginKawadaki/status/1861695778919747674,tweet_id:1861695778919747674,neutral
2024-11-27T04:48:35.000Z,"#AliExpress を初めて利用したのでメモ。
良かった点：
・発送が早い。
・荷物状況の報告が詳細。
悪かった点：
・デフォルトが置き配で変更できない。
・梱包が薄い袋に直入れ。
雑感：
・コピーゲームやパチモンガンプラが堂々と売られており、買手側の鑑識眼を要する。",1,1,8,800,"['#AliExpress', '']",https://x.com/_neginuki/status/1861633194313031771,tweet_id:1861633194313031771,neutral
2024-12-07T14:00:01.000Z,"Celebrate this holiday season with the power of #robotics! From Dec 8-15, enjoy up to 25% OFF our #Christmas promotion at our official #AliExpress store! Don’t miss out—add to your cart now https://bit.ly/40A0Xmo #Christmasgifts #MerryChristmas #RoboticGifts #Tech",0,0,0,129,"['#robotics', '#Christmas', '#AliExpress', '#Christmasgifts', '#MerryChristmas', '#RoboticGifts', '#Tech']",https://x.com/CobotMy/status/1865395845593809122,tweet_id:1865395845593809122,positivo
2024-12-05T08:20:30.000Z,"AliExpress Choiceの返品
家まで集荷に来てくれるので良い
夕方に集荷にきて当日中に返金完了になっていた！#AliExpress",1,0,10,452,['#AliExpress'],https://x.com/od_1969/status/1864585629063106729,tweet_id:1864585629063106729,neutral
2024-11-27T18:11:48.000Z,COMO COMPRAR EN AliExpress desde ARGENTINA 2024  https://youtu.be/D65XgHpPmu8#iva #Argentina #AliExpress,0,0,1,288,"['#iva', '#Argentina', '#AliExpress']",https://x.com/technoreviewspl/status/1861835329772102019,tweet_id:1861835329772102019,neutral
2024-12-03T10:36:51.000Z,"Type-C デジタル電圧電流計
HiDANCE HDC-085C
モノクロ？版が安いので入手
設定変えるとカラー版に？！#AliExpress",1,4,17,1.4K,['#AliExpress'],https://x.com/od_1969/status/1863895165246861407,tweet_id:1863895165246861407,neutral
2024-12-06T17:04:09.000Z,Click here:https://s.click.aliexpress.com/e/_DDI5A9T#free #internet #wifi #antenna #decoder #product #discount #aliexpress #shopping,1,0,2,51,"['#free', '#internet', '#wifi', '#antenna', '#decoder', '#product', '#discount', '#aliexpress', '#shopping']",https://x.com/JonArauzo/status/1865079795702469041,tweet_id:1865079795702469041,neutral
2024-12-06T02:24:26.000Z,"【アリエク セール】

12月9日17:00からアリエクのセールが始まります今回のセールの目玉は、15000円超(100ドル)の高額クーポンです！クーポンはこちらhttps://coupon-code-info.comそして悲報です...
今回もスマホはクーポン対象外です",1,6,18,2K,[''],https://x.com/CoponCodeInfo/status/1864858406278041781,tweet_id:1864858406278041781,neutral
2024-11-27T10:03:29.000Z,"#SONDAKİKA  | Yurt dışı gümrüksüz alışverişlerde 30 Euro olan üst limit, kargo dahil 30 Euro'ya düşürüldü.#Gümrük #Temu #Amazon #AliExpress",4,17,29,38K,"['#SONDAKİKA', '#Gümrük', '#Temu', '#Amazon', '#AliExpress']",https://x.com/ekonomikosesiCS/status/1861712439701631062,tweet_id:1861712439701631062,neutral
2024-12-07T10:05:03.000Z,#AliExpressエスポリアー,0,0,2,35,['#AliExpress'],https://x.com/kabukabu110/status/1865336714082083255,tweet_id:1865336714082083255,neutral
2024-12-02T07:25:38.000Z,"今日は月イチの多忙日の為、お昼ご飯休憩がこんな時間になってしまいました(^_^;)

とりあえずご飯軽く食べて、開封の儀に時間を費やしますꉂꉂ #ブラックフライデー #AliExpress",0,0,6,64,"['#ブラックフライデー', '#AliExpress']",https://x.com/eB0lRC0JYyLYnpk/status/1863484655217103144,tweet_id:1863484655217103144,positivo
2024-11-30T02:56:48.000Z,"シェイクして賞品獲得
友達がシェイク回数をゲットできるようにクリックしてあげてくださいhttps://a.aliexpress.com/_oCvLMONいいね頂いた方返します！m(_ _)m#アリエク #Aliexpress",1,0,19,429,"['#アリエク', '#Aliexpress']",https://x.com/sgky_8/status/1862692224414490754,tweet_id:1862692224414490754,neutral
2024-11-29T08:12:22.000Z,"相互お願いしますいいねでお知らせ下さい#アリエク#AliExpressシェイクして賞品獲得
友達がシェイク回数をゲットできるようにクリックしてあげてください",3,0,115,1.8K,"['#アリエク', '#AliExpress']",https://x.com/6B7FZ/status/1862409251815362770,tweet_id:1862409251815362770,neutral
2024-11-29T14:14:04.000Z,アリエクシェイク、みんなで回しましょうリプ欄に貼っていただければ相互で返します！#アリエク#AliExpress#シェイク,22,1,32,4.6K,"['#アリエク', '#AliExpress', '#シェイク']",https://x.com/youlife1024/status/1862500277590651258,tweet_id:1862500277590651258,neutral
2024-12-04T11:29:14.000Z,初めてアリエクでイヤホン購入したちゃんと届いてくれよ~ #AliExpress #アリエク #イヤホン,1,0,23,356,"['#AliExpress', '#アリエク', '#イヤホン']",https://x.com/1ixymviii0/status/1864270733888901602,tweet_id:1864270733888901602,neutral
2024-11-29T15:10:49.000Z,"いいね頂ければお返しします。シェイクして賞品獲得
友達がシェイク回数をゲットできるようにクリックしてあげてくださいhttps://a.aliexpress.com/_oF4xTXb#AliExpress #アリエク#ブラックフライデー",1,0,18,272,"['#AliExpress', '#アリエク', '#ブラックフライデー']",https://x.com/CalizPontiff/status/1862514558231093602,tweet_id:1862514558231093602,neutral
2024-12-01T12:39:47.000Z,"アリエクの車の電装品って物によってはガチでﾀﾋに直結するけど、
光るウィンドウスイッチくらいなら大丈夫かなと思って買ってみた。#Aliexpressトヨタ用シングルウィンドウスイッチ、LEDパワースイッチ、ヤリスクロス、ラバ4、chr、カローラ、2023-2024、1-4pcshttps://a.aliexpress.com/_oD9rZJ3",0,1,3,639,['#Aliexpress'],https://x.com/HiNATA13638705/status/1863201325187792968,tweet_id:1863201325187792968,neutral
